名次,"#1(蛮鳞行动)
2021-09-28","#2(松烟行动)
2021-12-09","#3(寻昼行动)
2022-03-11","#4(渊默行动)
2022-06-04","#5(尘环行动)
2022-09-09","#6(赝波行动)
2022-12-03","#7(起源行动)
2023-04-11","#8(尖灭测试)
2023-06-10","#9(纷争演绎)
2023-10-28","合约#1(潮曦作战)
2024-04-18","合约#2(净罪作战)
2025-03-02"
1,史尔特尔,史尔特尔,史尔特尔,史尔特尔,史尔特尔,史尔特尔,史尔特尔,史尔特尔,史尔特尔,伊内丝,伊内丝
2,假日威龙陈,假日威龙陈,假日威龙陈,假日威龙陈,假日威龙陈,玛恩纳,假日威龙陈,假日威龙陈,玛恩纳,刻俄柏,刻俄柏
3,银灰,风笛,风笛,风笛,风笛,假日威龙陈,玛恩纳,玛恩纳,假日威龙陈,琴柳,铃兰
4,风笛,银灰,铃兰,银灰,铃兰,风笛,风笛,风笛,伊内丝,风笛,逻各斯
5,泥岩,铃兰,银灰,铃兰,银灰,铃兰,铃兰,琴柳,琴柳,史尔特尔,焰影苇草
6,铃兰,泥岩,泥岩,泥岩,耀骑士临光,琴柳,琴柳,伊内丝,风笛,黍,琴柳
7,艾雅法拉,浊心斯卡蒂,夜莺,浊心斯卡蒂,琴柳,耀骑士临光,耀骑士临光,耀骑士临光,铃兰,锏,风笛
8,塞雷娅,琴柳,浊心斯卡蒂,琴柳,泥岩,温蒂,温蒂,温蒂,耀骑士临光,焰影苇草,艾拉
9,凯尔希,夜莺,琴柳,温蒂,温蒂,银灰,夜莺,铃兰,塞雷娅,缄默德克萨斯,缄默德克萨斯
10,琴柳,凯尔希,令,令,令,令,令,令,令,艾拉,温蒂
11,浊心斯卡蒂,塞雷娅,能天使,耀骑士临光,夜莺,夜莺,焰影苇草,年,夜莺,麒麟R夜刀,歌蕾蒂娅
12,安洁莉娜,能天使,耀骑士临光,傀影,浊心斯卡蒂,泥岩,塞雷娅,塞雷娅,焰影苇草,铃兰,黍
13,温蒂,傀影,傀影,能天使,能天使,缄默德克萨斯,年,夜莺,温蒂,歌蕾蒂娅,史尔特尔
14,能天使,温蒂,塞雷娅,夜莺,鸿雪,鸿雪,归溟幽灵鲨,焰影苇草,麒麟R夜刀,温蒂,妮芙
15,灰烬,安洁莉娜,凯尔希,塞雷娅,傀影,年,银灰,麒麟R夜刀,缄默德克萨斯,莱伊,麦哲伦
16,伊芙利特,艾雅法拉,温蒂,凯尔希,塞雷娅,灵知,阿,缄默德克萨斯,归溟幽灵鲨,假日威龙陈,灵知
17,山,山,安洁莉娜,号角,山,阿,泥岩,归溟幽灵鲨,年,耀骑士临光,塑心
18,夜莺,灰烬,艾雅法拉,山,艾雅法拉,号角,灵知,银灰,涤火杰西卡,夜莺,伊芙利特
19,棘刺,伊芙利特,山,艾雅法拉,凯尔希,百炼嘉维尔,麒麟R夜刀,瑕光,瑕光,塞雷娅,塞雷娅
20,傀影,棘刺,歌蕾蒂娅,麦哲伦,号角,归溟幽灵鲨,缄默德克萨斯,泥岩,莫斯提马,归溟幽灵鲨,夜莺
21,煌,耀骑士临光,棘刺,安洁莉娜,归溟幽灵鲨,傀影,鸿雪,歌蕾蒂娅,阿,玛恩纳,维什戴尔
22,歌蕾蒂娅,嵯峨,灵知,年,年,塞雷娅,仇白,麦哲伦,纯烬艾雅法拉,灵知,莱伊
23,黑,歌蕾蒂娅,伊芙利特,歌蕾蒂娅,麦哲伦,麦哲伦,号角,傀影,浊心斯卡蒂,塑心,余
24,嵯峨,煌,嵯峨,澄闪,歌蕾蒂娅,歌蕾蒂娅,百炼嘉维尔,阿,歌蕾蒂娅,艾雅法拉,归溟幽灵鲨
25,麦哲伦,麦哲伦,焰尾,阿,灵知,浊心斯卡蒂,歌蕾蒂娅,灵知,仇白,林,维娜・维多利亚
26,赫拉格,黑,年,棘刺,澄闪,能天使,瑕光,鸿雪,刻俄柏,莫斯提马,烛煌
27,年,阿,澄闪,嵯峨,百炼嘉维尔,山,麦哲伦,仇白,林,瑕光,林
28,卡涅利安,赫拉格,麦哲伦,灵知,阿,凯尔希,浊心斯卡蒂,号角,艾雅法拉,伊芙利特,莫斯提马
29,刻俄柏,焰尾,阿,伊芙利特,艾丽妮,瑕光,莫斯提马,百炼嘉维尔,百炼嘉维尔,阿,傀影
30,阿,年,灰烬,流明,瑕光,艾雅法拉,傀影,浊心斯卡蒂,提丰,令,瑕光
31,迷迭香,异客,煌,灰烬,安洁莉娜,澄闪,能天使,斥罪,鸿雪,涤火杰西卡,艾雅法拉
32,W,刻俄柏,黑,煌,嵯峨,嵯峨,凯尔希,星熊,圣约送葬人,年,仇白
33,夕,卡涅利安,刻俄柏,艾丽妮,棘刺,伊芙利特,斥罪,林,灵知,麦哲伦,耀骑士临光
34,早露,迷迭香,赫拉格,瑕光,伊芙利特,斯卡蒂,山,莫斯提马,麦哲伦,浊心斯卡蒂,阿斯卡伦
35,星熊,早露,异客,焰尾,煌,安洁莉娜,刻俄柏,凯尔希,泥岩,纯烬艾雅法拉,麒麟R夜刀
36,闪灵,闪灵,卡涅利安,黑,灰烬,灰烬,早露,山,银灰,白铁,左乐
37,帕拉斯,瑕光,帕拉斯,刻俄柏,焰尾,水月,艾雅法拉,能天使,傀影,左乐,缪尔赛思
38,瑕光,夕,闪灵,菲亚梅塔,刻俄柏,菲亚梅塔,重岳,刻俄柏,星熊,仇白,荒芜拉普兰德
39,森蚺,W,瑕光,帕拉斯,菲亚梅塔,多萝西,多萝西,早露,能天使,百炼嘉维尔,涤火杰西卡
40,空弦,星熊,星熊,异客,帕拉斯,斥罪,水月,艾雅法拉,多萝西,银灰,年
41,推进之王,空弦,迷迭香,闪灵,多萝西,莫斯提马,嵯峨,重岳,凯尔希,傀影,假日威龙陈
42,陈,森蚺,空弦,远牙,闪灵,老鲤,星熊,多萝西,斥罪,号角,锏
43,斯卡蒂,远牙,森蚺,星熊,斯卡蒂,陈,伊芙利特,闪灵,山,泥岩,玛恩纳
44,莫斯提马,帕拉斯,早露,迷迭香,陈,艾丽妮,林,嵯峨,重岳,凯尔希,引星棘刺
45,水月,推进之王,夕,空弦,黑,焰尾,澄闪,缪尔赛思,黑键,星熊,银灰
46,异客,陈,W,赫拉格,流明,刻俄柏,白铁,白铁,早露,斥罪,白铁
47,,斯卡蒂,陈,斯卡蒂,异客,黑,斯卡蒂,水月,伊芙利特,山,灰烬
48,,莫斯提马,斯卡蒂,陈,赫拉格,煌,安洁莉娜,伊芙利特,白铁,黑键,乌尔比安
49,,水月,远牙,老鲤,星熊,棘刺,老鲤,澄闪,嵯峨,多萝西,魔王
50,,,老鲤,归溟幽灵鲨,森蚺,白铁,陈,迷迭香,缪尔赛思,缪尔赛思,泥岩
51,,,推进之王,森蚺,老鲤,帕拉斯,艾丽妮,森蚺,煌,赫德雷,斥罪
52,,,水月,水月,迷迭香,闪灵,焰尾,安洁莉娜,号角,圣约送葬人,黑键
53,,,莫斯提马,早露,空弦,森蚺,黑,斯卡蒂,澄闪,重岳,赫德雷
54,,,,卡涅利安,水月,流明,黑键,流明,迷迭香,煌,凯尔希
55,,,,夕,黑键,异客,煌,老鲤,安洁莉娜,提丰,多萝西
56,,,,W,莫斯提马,赫拉格,棘刺,陈,森蚺,鸿雪,纯烬艾雅法拉
57,,,,推进之王,卡涅利安,黑键,菲亚梅塔,艾丽妮,斯卡蒂,澄闪,阿
58,,,,莫斯提马,远牙,星熊,帕拉斯,焰尾,老鲤,黑,薇薇安娜
59,,,,,早露,迷迭香,闪灵,黑,陈,闪灵,浊心斯卡蒂
60,,,,,夕,W,森蚺,霍尔海雅,艾丽妮,霍尔海雅,佩佩
61,,,,,W,空弦,流明,黑键,琳琅诗怀雅,灰烬,玛露西尔
62,,,,,推进之王,远牙,异客,煌,焰尾,薇薇安娜,闪灵
63,,,,,,早露,赫拉格,棘刺,黑,早露,星熊
64,,,,,,夕,推进之王,淬羽赫默,霍尔海雅,安洁莉娜,百炼嘉维尔
65,,,,,,卡涅利安,卡涅利安,卡涅利安,淬羽赫默,淬羽赫默,娜仁图亚
66,,,,,,推进之王,灰烬,菲亚梅塔,水月,森蚺,安洁莉娜
67,,,,,,伺夜,迷迭香,帕拉斯,卡涅利安,嵯峨,霍尔海雅
68,,,,,,,W,异客,闪灵,斯卡蒂,迷迭香
69,,,,,,,空弦,赫拉格,流明,陈,澄闪
70,,,,,,,远牙,推进之王,菲亚梅塔,艾丽妮,忍冬
71,,,,,,,夕,灰烬,帕拉斯,卡涅利安,淬羽赫默
72,,,,,,,伺夜,W,异客,琳琅诗怀雅,圣约送葬人
73,,,,,,,,夕,棘刺,老鲤,令
74,,,,,,,,空弦,赫拉格,能天使,号角
75,,,,,,,,远牙,推进之王,迷迭香,森蚺
76,,,,,,,,伺夜,远牙,空弦,山
77,,,,,,,,,灰烬,夕,煌
78,,,,,,,,,W,菲亚梅塔,早露
79,,,,,,,,,夕,水月,提丰
80,,,,,,,,,空弦,流明,鸿雪
81,,,,,,,,,伺夜,异客,弑君者
82,,,,,,,,,,棘刺,黑
83,,,,,,,,,,止颂,水月
84,,,,,,,,,,赫拉格,重岳
85,,,,,,,,,,帕拉斯,夕
86,,,,,,,,,,焰尾,卡涅利安
87,,,,,,,,,,推进之王,流明
88,,,,,,,,,,远牙,止颂
89,,,,,,,,,,W,斯卡蒂
90,,,,,,,,,,伺夜,能天使
91,,,,,,,,,,,空弦
92,,,,,,,,,,,嵯峨
93,,,,,,,,,,,焰尾
94,,,,,,,,,,,推进之王
95,,,,,,,,,,,赫拉格
96,,,,,,,,,,,艾丽妮
97,,,,,,,,,,,陈
98,,,,,,,,,,,菲亚梅塔
99,,,,,,,,,,,棘刺
100,,,,,,,,,,,琳琅诗怀雅
101,,,,,,,,,,,老鲤
102,,,,,,,,,,,异客
103,,,,,,,,,,,帕拉斯
104,,,,,,,,,,,W
105,,,,,,,,,,,远牙
106,,,,,,,,,,,伺夜
